,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Arain,0.072766,0.009938,-0.109877,0.065223,-0.076674,0.04526,0.002619,0.001203,-0.01176,-0.007498,-0.007041,-0.000621,-0.000361,-0.005741,0.014183,0.010124,-0.009974,0.000452,0.002065,-0.011327,0.000775,-0.005617,-0.000819,-0.004674,0.001257
Armenian_Aintab,0.100924,0.142851,-0.056065,-0.065677,-0.028005,-0.020731,0.003682,-0.004538,-0.023452,-0.00079,0.003085,0.003047,-0.000347,0.001606,-0.006786,-0.001503,0.010778,0.000591,0.000126,-0.00421,0.000832,-8.2e-05,0.00115,-0.001848,-0.000838
Armenian_Ararat,0.103043,0.13632,-0.059386,-0.061959,-0.026883,-0.01734,0.004285,-0.00452,-0.028176,-0.00343,0.003047,0.003332,-0.002702,0.00251,-0.005525,-0.001794,0.00092,0.001319,0.003948,-0.004451,0.000235,0.004044,-0.001261,-0.000269,0.001212
Armenian_Artsakh,0.10282,0.133373,-0.049277,-0.046297,-0.031698,-0.010877,0.006894,-0.005538,-0.034155,-0.010995,0.00249,0.001549,-0.003568,-0.003991,0.004072,-0.005657,-0.005476,-0.002618,0.001425,-0.003085,-0.001996,0.001566,-0.000739,-0.004338,0.003074
Armenian_Erzurum,0.106804,0.13845,-0.057134,-0.062178,-0.02739,-0.018267,0.003486,-0.003385,-0.030065,-0.00571,0.004439,-0.00015,-0.001016,0.002156,-0.004207,0.000862,-0.001912,0.002069,0.000272,-0.000771,0.001664,0.002885,0.000431,-0.000582,0.000878
Armenian_Gesaria,0.106709,0.135065,-0.052797,-0.060159,-0.025928,-0.01513,0.004524,-0.004731,-0.027918,-0.001868,0.00406,0.002285,-0.003568,0.00258,-0.005022,-0.00421,-3.3e-05,0.000348,0.001791,-0.004315,0.000998,0.005286,-0.002465,-0.001597,0.001287
Armenian_Gurin,0.104148,0.139128,-0.058077,-0.061693,-0.029082,-0.016455,0.005993,-0.006577,-0.030679,-0.002825,0.002436,0.002473,0.003568,0.000138,-0.008143,0.009812,0.014603,-0.001837,0.002451,0.002689,0.003494,-6.2e-05,-0.001725,-0.001205,-0.002634
Armenian_Hemsheni,0.107319,0.137387,-0.058346,-0.060355,-0.03482,-0.015339,0.007151,-0.007417,-0.046076,-0.005727,0.002737,0.007022,-0.012445,0.000963,-0.008376,-0.007747,0.00909,-0.000217,-0.002137,0.004591,0.00574,0.003869,-0.003046,-0.006335,0.000736
Armenian_Parspatunik,0.105855,0.140651,-0.04978,-0.052488,-0.033083,-0.005996,0.00564,-0.001961,-0.034871,-0.007745,0.002679,0.005995,-0.002676,0.000413,-0.006718,-0.00769,-0.004694,-0.00114,0.000691,-0.003689,0.000686,0.00371,0.002465,-0.000904,0.000659
Armenian_Syunik,0.104924,0.134696,-0.053688,-0.051974,-0.03181,-0.010801,0.00376,-0.00558,-0.032296,-0.007057,0.002657,0.004183,-0.003338,0.004191,-0.001678,-0.000771,-0.003283,0.002142,0.001851,-0.002888,0.003244,-0.00027,-0.001389,0.001095,0.000142
Armenian_Urfa,0.10114,0.139273,-0.059585,-0.070507,-0.02673,-0.019682,0.00376,-0.005143,-0.026121,0.002421,0.003596,0.002034,0.000425,0.004247,-0.007775,0.00089,0.001639,0.000163,0.002083,-0.00259,0.000267,0.000707,-0.001409,-0.001119,0.001061
