,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Moroccan_South,-0.0162062,0.0118062,0.0001938,-0.017625,0.0077875,-0.0096188,-0.0137,0.0066,0.0263125,0.0156625,0.0037312,-0.00455,0.0152938,-0.0125938,0.0133375,-0.0115625,0.0008375,-0.0149375,-0.03245,0.0068125,-0.0118812,-0.0311,0.0195312,-0.0029,0.0045875
Mountain_Jew_Azerbaijan,0.0084,0.013,-0.0168,-0.01995,-0.01145,-0.00515,0.00065,-0.00145,-0.0089,-0.00295,0.0032,-0.00305,0.0043,0.00455,-0.0029,0.0077,-0.01,0.0015,0.00115,-0.0027,-0.002,-0.00045,-0.00215,0.0028,0.00055
Mountain_Jew_Chechnya,0.0077,0.0134,-0.0144,-0.0169,-0.009,-0.0064,-2e-04,-0.0017,-0.0083,-0.0021,0.0045,-0.0042,0.0072,0.0021,-3e-04,0.0072,-0.006,0.0044,0.0034,-0.0052,-4e-04,-0.0037,0.0023,-0.001,0.0101
Mountain_Jew_Dagestan,0.0083222,0.0129611,-0.0153444,-0.0192167,-0.0098944,-0.0062833,0.0007667,-0.0032944,-0.0087667,-0.0023944,0.0040056,-0.0024,0.0057556,0.0006056,-0.0011167,0.0042611,-0.0041944,0.0020556,0.0044111,-0.0050278,-0.0002944,0.00145,-0.0021111,-4.44e-05,0.0007111
Mozabite,-0.0057955,0.0133364,-0.0011091,-0.02255,0.0084182,-0.0119318,-0.0111318,0.0046273,0.0304318,0.0166045,0.0040591,-0.0045455,0.0150409,-0.0119864,0.0121,-0.0123,-0.0020818,-0.0176091,-0.0353682,0.0070136,-0.0118682,-0.0303909,0.0201682,-0.0036,0.0046682
Mulam,0.0014312,-0.044125,-0.00915,-0.020875,0.0377812,0.019625,-0.0003125,-0.0034375,-0.0098375,-0.0063062,-0.004125,-0.0024562,0.0015125,-0.0046188,-0.001275,0.0016812,0.0022187,-0.0002062,-0.0036188,-0.00905,0.0108062,0.0049312,0.0134875,-0.0002125,-0.0007375
Mumbai_Jew,0.00585,0.00035,-0.0319,0.01315,-0.01855,0.0103,-0.00055,0.0023,0.0099,0.00805,-0.0034,-6e-04,0.0031,0.00235,4e-04,-0.0042,-0.0077,-2e-04,0.00055,-0.0027,-0.00125,0.0013,-0.00045,0.00495,-0.0026
Murut,0.0012,-0.0430667,-0.0169333,-0.0179333,0.0484667,0.0242667,-0.0013,-0.0057,-0.0099,-0.0136,0.0442,0.0061333,-0.0087333,0.0011333,0.0097667,0.0077667,4e-04,0.0047667,0.0038333,-0.0061667,-0.0034667,-0.0201667,-0.0052667,-0.0028333,-0.0372333
Mwani,-0.05394,0.0065,0.00472,0.00424,0.00012,0.00368,-0.00468,0.00814,-0.01134,0.0051,0.00046,0.00102,-0.0081,0.00084,-0.01054,0.00758,-0.01024,0.00748,-0.00784,0.00242,-0.00078,-0.00172,0.00144,0.00114,0.00106
Nadar,0.002,-0.0094,-0.0456,0.0366,-0.0263,0.0234,2e-04,0.0083,0.0259,0.0199,-0.0029,0.0042,-4e-04,0.0068,-0.0027,-0.0016,0.0116,-0.0026,-0.0029,0.0039,0.0083,3e-04,-4e-04,0.0021,-0.0053
