,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Scotland_LBA,0.1294738,0.131765,0.0641105,0.0520838,0.0338522,0.0192435,0.0052875,0.0036345,0.0015338,-0.0020048,-0.0048718,0.006819,-0.018062,-0.016033,0.0254475,0.0050718,-0.0151242,0.002122,0.002954,0.0009378,0.0058022,0.0055955,-0.0014788,0.007079,0.0046402
Scotland_LIA,0.1269644,0.133773,0.0627049,0.0575527,0.0336845,0.0230465,0.0025636,0.0039859,0.0031978,-0.0005798,-0.0052408,0.0061175,-0.0137442,-0.0162519,0.0264283,0.0032423,-0.0139629,0.0023956,0.0006972,0.0043428,0.0063411,0.0076216,-0.0037199,0.0072408,0.0011866
Scotland_MBA,0.1288476,0.128566,0.0598866,0.058786,0.035822,0.0200244,0.002162,0.0046616,0.001759,-0.0013124,-0.004969,0.0061146,-0.0123388,-0.0200652,0.0238326,0.0147172,0.0012516,-0.0010642,0.0013826,0.002101,0.0058148,0.0020526,-0.0016762,0.0037114,-0.0031374
Scotland_Megalithic.SG,0.1257745,0.1718782,0.0493088,-0.0376295,0.089863,-0.0225205,-0.0015862,-0.0002308,0.06059,0.0820973,-0.001096,0.0152862,-0.0275392,-0.0178222,-0.0066842,0.002088,0.0103982,-0.001077,-0.0001258,-0.0075035,0.0079548,-0.0037095,-0.012294,-0.0351558,0.0012272
Scotland_MIA,0.131466,0.1345575,0.0546825,0.057494,0.0384685,0.0230085,0.0036425,0.003461,0.0018405,0.0033715,0.000731,0.0073435,-0.0158325,-0.014588,0.0233435,-0.0014585,-0.022882,0.006968,-0.000817,0.0015635,0.003681,0.0044515,-0.0013555,0.0069885,0.0020955
Scotland_MIA_LIA,0.1322624,0.1312062,0.0647896,0.0611116,0.033606,0.0187972,0.005264,0.0079844,0.0011452,-0.000328,-0.0062032,0.0071936,-0.0152228,-0.0160468,0.0259496,0.0125694,-0.0068844,0.0003294,-0.0007542,0.0025012,0.0053656,-0.0002226,-0.0017008,0.0083866,-0.0037122
Scotland_N,0.126761,0.1694241,0.0521683,-0.0355838,0.0867444,-0.0243936,-0.0041987,0.0025384,0.0631365,0.0855598,-0.001061,0.0123589,-0.0263923,-0.0121612,-0.0088173,0.0040307,0.0106307,0.004641,0.0052541,-0.0036559,0.0101195,0.0024112,-0.0157223,-0.031848,0.0001477
Scotland_N_lowEEF,0.126059,0.161215,0.0843805,0.0157462,0.1011728,-0.0024402,-0.0019975,0.0067498,0.0665725,0.0711177,-0.0005685,0.0043462,-0.0194002,-0.007638,0.007227,0.0031822,-0.007921,0.0050678,0.0051537,0.0091295,0.0319125,0.0062755,-0.0233555,-0.0687445,0.00952
Scotland_N_mediumlowEEF,0.130138,0.1662083,0.0711503,-0.018088,0.0939663,-0.0104123,-0.0020367,0.0090763,0.0631297,0.082067,-0.0014073,0.012389,-0.0212583,-0.00734,-0.0004973,-0.0029613,-0.0043027,0.0082773,-0.0003353,-0.0019593,0.0197567,0.0044927,-0.014954,-0.041733,0.0007983
Scotland_Orkney_IA.SG,0.1297585,0.133542,0.0550595,0.0511955,0.0409305,0.016873,0.00282,0.008538,0.008079,-0.0013665,-0.0003245,0.002398,-0.0074335,-0.0161015,0.0278225,-0.0041765,-0.002412,0.005004,0.008736,0.0150075,0.0018095,0.0118085,-0.0014175,0.0141585,-0.0058675
Scotland_Orkney_MBA.SG,0.1272749,0.1336805,0.0632192,0.0550862,0.0343281,0.0179252,0.0085673,0.002706,0.0020825,-0.0028164,-0.0016093,0.0086378,-0.0167175,-0.0207184,0.0229739,0.008317,0.000889,0.003121,0.0023198,0.0032855,0.0059327,0.0011353,0.0035182,0.0067259,-0.0003375
Scotland_Skye_IA.SG,0.146832,0.12491,0.060339,0.062662,0.027082,0.028447,0.00329,-0.003231,0.005113,-0.007836,0.002761,0.013788,-0.00996,-0.010322,0.023208,0.012994,-0.013169,-0.009755,-0.011564,0.004627,-0.003119,0.006183,0.005916,0.010363,-0.000599
Scotland_Skye_N.SG,0.130897,0.17264,0.054682,-0.026163,0.101557,-0.017849,-0.002115,-0.000231,0.060335,0.085286,-0.000812,0.017385,-0.032557,-0.01913,-0.004343,0.002652,0.026077,0.00114,0.008296,0.007379,0.013102,0.005564,-0.021815,-0.03868,0.000718
